PropertyCategory,DateOfCall,Notional Cost (£)
Non Residential,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Road Vehicle,01 Jan 2021,346.0
Dwelling,01 Jan 2021,1038.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Outdoor,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,2422.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,692.0
Outdoor Structure,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Non Residential,01 Jan 2021,692.0
Outdoor,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Road Vehicle,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Other Residential,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,692.0
Non Residential,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Other Residential,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,692.0
Outdoor Structure,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Other Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,2076.0
Road Vehicle,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Outdoor Structure,01 Jan 2021,346.0
Other Residential,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Road Vehicle,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Road Vehicle,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Road Vehicle,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Non Residential,01 Jan 2021,692.0
Dwelling,01 Jan 2021,692.0
Road Vehicle,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Other Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Road Vehicle,01 Jan 2021,1038.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,1038.0
Dwelling,01 Jan 2021,4152.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Road Vehicle,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Road Vehicle,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Road Vehicle,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,1038.0
Dwelling,01 Jan 2021,346.0
Other Residential,01 Jan 2021,346.0
Road Vehicle,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Other Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Boat,01 Jan 2021,2768.0
Road Vehicle,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Outdoor,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Outdoor,01 Jan 2021,346.0
Other Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Non Residential,01 Jan 2021,1038.0
Dwelling,01 Jan 2021,346.0
Other Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,1038.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,692.0
Other Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Other Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,1730.0
Dwelling,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,1038.0
Road Vehicle,01 Jan 2021,692.0
Non Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,1038.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Non Residential,01 Jan 2021,692.0
Dwelling,01 Jan 2021,1038.0
Dwelling,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,1384.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Road Vehicle,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Road Vehicle,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,1730.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Road Vehicle,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Outdoor Structure,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Non Residential,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Road Vehicle,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Non Residential,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Other Residential,01 Jan 2021,346.0
Non Residential,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Outdoor,01 Jan 2021,346.0
Dwelling,01 Jan 2021,692.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Non Residential,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,01 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Road Vehicle,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Non Residential,02 Jan 2021,346.0
Dwelling,02 Jan 2021,1730.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,692.0
Non Residential,02 Jan 2021,692.0
Dwelling,02 Jan 2021,692.0
Dwelling,02 Jan 2021,692.0
Outdoor,02 Jan 2021,1038.0
Non Residential,02 Jan 2021,346.0
Road Vehicle,02 Jan 2021,346.0
Other Residential,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Outdoor,02 Jan 2021,346.0
Road Vehicle,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Non Residential,02 Jan 2021,346.0
Other Residential,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,692.0
Outdoor Structure,02 Jan 2021,346.0
Dwelling,02 Jan 2021,692.0
Non Residential,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Road Vehicle,02 Jan 2021,346.0
Dwelling,02 Jan 2021,2422.0
Non Residential,02 Jan 2021,346.0
Dwelling,02 Jan 2021,692.0
Road Vehicle,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Other Residential,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Non Residential,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Road Vehicle,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,692.0
Dwelling,02 Jan 2021,346.0
Outdoor Structure,02 Jan 2021,692.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Outdoor Structure,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Non Residential,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Road Vehicle,02 Jan 2021,346.0
Non Residential,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Road Vehicle,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Non Residential,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
Dwelling,02 Jan 2021,1038.0
Other Residential,02 Jan 2021,346.0
Dwelling,02 Jan 2021,346.0
