IncidentGroup,DateOfCall,Notional Cost (£)
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,692.0
Fire,2021-01-01,346.0
Fire,2021-01-01,1038.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,692.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,2422.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,692.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,692.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,692.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,692.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,692.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,692.0
Fire,2021-01-01,346.0
Fire,2021-01-01,2076.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,692.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,692.0
False Alarm,2021-01-01,692.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,692.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,692.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,1038.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,692.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,1038.0
Special Service,2021-01-01,4152.0
Fire,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,692.0
Special Service,2021-01-01,692.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,1038.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,2768.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,692.0
Special Service,2021-01-01,692.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,692.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,692.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,692.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,1038.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,1038.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,692.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,692.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,1730.0
Special Service,2021-01-01,692.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,692.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,1038.0
Special Service,2021-01-01,692.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
Special Service,2021-01-01,692.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,1038.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,692.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,692.0
Fire,2021-01-01,1038.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,1384.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,692.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,1730.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,692.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,692.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,346.0
Fire,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Fire,2021-01-01,692.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,346.0
Special Service,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-01,692.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
False Alarm,2021-01-01,346.0
Special Service,2021-01-02,346.0
False Alarm,2021-01-02,346.0
Special Service,2021-01-02,346.0
Special Service,2021-01-02,346.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,346.0
Fire,2021-01-02,1730.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,346.0
Special Service,2021-01-02,346.0
False Alarm,2021-01-02,692.0
False Alarm,2021-01-02,692.0
False Alarm,2021-01-02,692.0
Special Service,2021-01-02,692.0
Special Service,2021-01-02,1038.0
False Alarm,2021-01-02,346.0
Special Service,2021-01-02,346.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,346.0
Fire,2021-01-02,346.0
Special Service,2021-01-02,346.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,346.0
Special Service,2021-01-02,346.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,692.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,692.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,346.0
Special Service,2021-01-02,346.0
Special Service,2021-01-02,346.0
Fire,2021-01-02,2422.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,692.0
Special Service,2021-01-02,346.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,346.0
Special Service,2021-01-02,346.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,346.0
False Alarm,2021-01-02,346.0
Special Service,2021-01-02,346.0
False Alarm,2021-01-02,346.0
Special Service,2021-01-02,346.0
Fire,2021-01-02,346.0
Special Service,2021-01-02,346.0
Fire,2021-01-02,692.0
Special Service,2021-01-02,346.0
Fire,2021-01-02,692.0
Special Service,2021-01-02,346.0
False Alarm,2021-01-02,346.0
Special Service,2021-01-02,346.0
Special Service,2021-01-02,346.0
False Alarm,2021-01-02,346.0
Special Service,2021-01-02,346.0
Special Service,2021-01-02,346.0
Special Service,2021-01-02,346.0
Fire,2021-01-02,346.0
Special Service,2021-01-02,346.0
Special Service,2021-01-02,346.0
Special Service,2021-01-02,346.0
False Alarm,2021-01-02,346.0
Special Service,2021-01-02,346.0
Special Service,2021-01-02,346.0
False Alarm,2021-01-02,346.0
Special Service,2021-01-02,346.0
False Alarm,2021-01-02,346.0
Special Service,2021-01-02,346.0
Special Service,2021-01-02,1038.0
False Alarm,2021-01-02,346.0
