IncidentGroup,PropertyCategory
False Alarm,Non Residential
Fire,Outdoor
False Alarm,Outdoor
False Alarm,Dwelling
Fire,Road Vehicle
Fire,Dwelling
Fire,Dwelling
Fire,Outdoor
False Alarm,Dwelling
False Alarm,Outdoor
Fire,Outdoor
False Alarm,Dwelling
Fire,Outdoor Structure
False Alarm,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
False Alarm,Outdoor
False Alarm,Dwelling
Fire,Outdoor
False Alarm,Dwelling
Fire,Outdoor
False Alarm,Non Residential
Fire,Outdoor Structure
Fire,Outdoor Structure
Fire,Outdoor
False Alarm,Non Residential
Fire,Outdoor
Fire,Outdoor Structure
Fire,Outdoor Structure
Fire,Outdoor Structure
False Alarm,Dwelling
Fire,Outdoor
Fire,Outdoor Structure
False Alarm,Dwelling
Fire,Outdoor Structure
Fire,Outdoor Structure
Fire,Road Vehicle
False Alarm,Outdoor
Fire,Outdoor
Fire,Outdoor
False Alarm,Other Residential
Fire,Outdoor Structure
False Alarm,Non Residential
Fire,Outdoor
False Alarm,Other Residential
Fire,Outdoor
Special Service,Dwelling
Fire,Outdoor Structure
Fire,Outdoor Structure
Fire,Outdoor Structure
Fire,Outdoor Structure
Fire,Outdoor Structure
False Alarm,Outdoor
Fire,Outdoor Structure
Fire,Outdoor Structure
Fire,Dwelling
Fire,Other Residential
Fire,Dwelling
Fire,Road Vehicle
False Alarm,Dwelling
Fire,Outdoor Structure
Fire,Other Residential
Fire,Outdoor
Fire,Dwelling
Special Service,Road Vehicle
False Alarm,Dwelling
False Alarm,Dwelling
Special Service,Road Vehicle
Special Service,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
Fire,Outdoor
Fire,Dwelling
Special Service,Dwelling
Fire,Outdoor
False Alarm,Non Residential
False Alarm,Dwelling
Fire,Outdoor
Special Service,Road Vehicle
Special Service,Dwelling
False Alarm,Dwelling
Special Service,Dwelling
Fire,Non Residential
False Alarm,Dwelling
Special Service,Road Vehicle
Special Service,Dwelling
False Alarm,Other Residential
False Alarm,Dwelling
Special Service,Dwelling
False Alarm,Non Residential
Special Service,Dwelling
Fire,Outdoor
False Alarm,Dwelling
False Alarm,Non Residential
False Alarm,Dwelling
False Alarm,Dwelling
Special Service,Dwelling
Special Service,Dwelling
Fire,Outdoor Structure
False Alarm,Non Residential
Fire,Outdoor Structure
Fire,Outdoor Structure
False Alarm,Dwelling
Special Service,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
Special Service,Road Vehicle
Special Service,Dwelling
Special Service,Dwelling
Fire,Dwelling
Special Service,Dwelling
False Alarm,Non Residential
Special Service,Dwelling
Fire,Dwelling
Special Service,Dwelling
False Alarm,Non Residential
Fire,Non Residential
False Alarm,Dwelling
False Alarm,Dwelling
Special Service,Dwelling
Fire,Dwelling
Special Service,Dwelling
Fire,Dwelling
Special Service,Dwelling
Special Service,Road Vehicle
False Alarm,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
Special Service,Dwelling
Fire,Road Vehicle
False Alarm,Dwelling
False Alarm,Dwelling
Special Service,Road Vehicle
Special Service,Dwelling
False Alarm,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
Special Service,Dwelling
Fire,Outdoor
Special Service,Dwelling
False Alarm,Dwelling
False Alarm,Non Residential
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Non Residential
Special Service,Dwelling
Special Service,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
False Alarm,Other Residential
Special Service,Road Vehicle
Fire,Outdoor
Special Service,Dwelling
False Alarm,Other Residential
Special Service,Dwelling
Special Service,Boat
Special Service,Road Vehicle
False Alarm,Dwelling
Fire,Dwelling
Fire,Outdoor Structure
Special Service,Non Residential
Fire,Dwelling
Special Service,Outdoor
False Alarm,Dwelling
Fire,Outdoor Structure
Fire,Outdoor
False Alarm,Dwelling
Special Service,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Outdoor Structure
Fire,Outdoor
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
Fire,Dwelling
Fire,Outdoor
False Alarm,Other Residential
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
Special Service,Outdoor
Special Service,Dwelling
Special Service,Dwelling
False Alarm,Non Residential
Special Service,Non Residential
Fire,Dwelling
False Alarm,Other Residential
Special Service,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
Fire,Outdoor Structure
False Alarm,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
Fire,Outdoor Structure
False Alarm,Other Residential
Special Service,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
Fire,Outdoor
Special Service,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
False Alarm,Non Residential
False Alarm,Outdoor
Special Service,Dwelling
Special Service,Dwelling
Fire,Outdoor
False Alarm,Non Residential
Special Service,Dwelling
Special Service,Other Residential
False Alarm,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
Special Service,Outdoor
Fire,Outdoor Structure
False Alarm,Dwelling
Fire,Dwelling
False Alarm,Dwelling
Special Service,Dwelling
Special Service,Dwelling
Special Service,Road Vehicle
False Alarm,Non Residential
Fire,Dwelling
Special Service,Outdoor Structure
Special Service,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Non Residential
False Alarm,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Outdoor
False Alarm,Dwelling
Special Service,Non Residential
Fire,Dwelling
Fire,Dwelling
Fire,Outdoor Structure
Special Service,Outdoor
False Alarm,Dwelling
Fire,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
Special Service,Road Vehicle
False Alarm,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
Fire,Dwelling
Fire,Road Vehicle
False Alarm,Dwelling
False Alarm,Dwelling
Fire,Dwelling
Special Service,Dwelling
Special Service,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
False Alarm,Dwelling
Special Service,Dwelling
Special Service,Dwelling
Special Service,Dwelling
Fire,Road Vehicle
False Alarm,Outdoor
Fire,Outdoor Structure
Special Service,Dwelling
Special Service,Dwelling
False Alarm,Non Residential
Special Service,Dwelling
Special Service,Road Vehicle
Special Service,Dwelling
