DateOfCall,PropertyCategory,NumPumpsAttending
01-01-2021,Non Residential,1
01-01-2021,Outdoor,1
01-01-2021,Outdoor,1
01-01-2021,Dwelling,5
01-01-2021,Road Vehicle,1
01-01-2021,Dwelling,5
01-01-2021,Dwelling,1
01-01-2021,Outdoor,1
01-01-2021,Dwelling,5
01-01-2021,Outdoor,1
01-01-2021,Outdoor,1
01-01-2021,Dwelling,2
01-01-2021,Outdoor Structure,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,5
01-01-2021,Outdoor,1
01-01-2021,Dwelling,5
01-01-2021,Outdoor,1
01-01-2021,Dwelling,2
01-01-2021,Outdoor,1
01-01-2021,Non Residential,1
01-01-2021,Outdoor Structure,5
01-01-2021,Outdoor Structure,1
01-01-2021,Outdoor,1
01-01-2021,Non Residential,3
01-01-2021,Outdoor,1
01-01-2021,Outdoor Structure,1
01-01-2021,Outdoor Structure,1
01-01-2021,Outdoor Structure,1
01-01-2021,Dwelling,2
01-01-2021,Outdoor,1
01-01-2021,Outdoor Structure,1
01-01-2021,Dwelling,2
01-01-2021,Outdoor Structure,2
01-01-2021,Outdoor Structure,1
01-01-2021,Road Vehicle,1
01-01-2021,Outdoor,1
01-01-2021,Outdoor,1
01-01-2021,Outdoor,1
01-01-2021,Other Residential,2
01-01-2021,Outdoor Structure,2
01-01-2021,Non Residential,1
01-01-2021,Outdoor,1
01-01-2021,Other Residential,2
01-01-2021,Outdoor,1
01-01-2021,Dwelling,1
01-01-2021,Outdoor Structure,1
01-01-2021,Outdoor Structure,1
01-01-2021,Outdoor Structure,1
01-01-2021,Outdoor Structure,5
01-01-2021,Outdoor Structure,1
01-01-2021,Outdoor,1
01-01-2021,Outdoor Structure,1
01-01-2021,Outdoor Structure,1
01-01-2021,Dwelling,3
01-01-2021,Other Residential,2
01-01-2021,Dwelling,5
01-01-2021,Road Vehicle,1
01-01-2021,Dwelling,5
01-01-2021,Outdoor Structure,1
01-01-2021,Other Residential,2
01-01-2021,Outdoor,1
01-01-2021,Dwelling,1
01-01-2021,Road Vehicle,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Road Vehicle,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Outdoor,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Outdoor,2
01-01-2021,Non Residential,1
01-01-2021,Dwelling,2
01-01-2021,Outdoor,2
01-01-2021,Road Vehicle,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Non Residential,2
01-01-2021,Dwelling,2
01-01-2021,Road Vehicle,2
01-01-2021,Dwelling,1
01-01-2021,Other Residential,2
01-01-2021,Dwelling,5
01-01-2021,Dwelling,1
01-01-2021,Non Residential,1
01-01-2021,Dwelling,1
01-01-2021,Outdoor,1
01-01-2021,Dwelling,1
01-01-2021,Non Residential,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Outdoor Structure,1
01-01-2021,Non Residential,1
01-01-2021,Outdoor Structure,1
01-01-2021,Outdoor Structure,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,5
01-01-2021,Dwelling,3
01-01-2021,Road Vehicle,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Non Residential,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Non Residential,1
01-01-2021,Non Residential,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,5
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Road Vehicle,1
01-01-2021,Dwelling,5
01-01-2021,Dwelling,1
01-01-2021,Dwelling,3
01-01-2021,Dwelling,1
01-01-2021,Road Vehicle,1
01-01-2021,Dwelling,5
01-01-2021,Dwelling,5
01-01-2021,Road Vehicle,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,3
01-01-2021,Dwelling,1
01-01-2021,Outdoor,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Non Residential,2
01-01-2021,Dwelling,5
01-01-2021,Dwelling,1
01-01-2021,Non Residential,3
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Other Residential,2
01-01-2021,Road Vehicle,1
01-01-2021,Outdoor,1
01-01-2021,Dwelling,1
01-01-2021,Other Residential,2
01-01-2021,Dwelling,1
01-01-2021,Boat,3
01-01-2021,Road Vehicle,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Outdoor Structure,1
01-01-2021,Non Residential,1
01-01-2021,Dwelling,2
01-01-2021,Outdoor,1
01-01-2021,Dwelling,4
01-01-2021,Outdoor Structure,2
01-01-2021,Outdoor,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,5
01-01-2021,Dwelling,2
01-01-2021,Outdoor Structure,1
01-01-2021,Outdoor,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Outdoor,1
01-01-2021,Other Residential,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Outdoor,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Non Residential,1
01-01-2021,Non Residential,1
01-01-2021,Dwelling,2
01-01-2021,Other Residential,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Outdoor Structure,2
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,3
01-01-2021,Outdoor Structure,2
01-01-2021,Other Residential,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,2
01-01-2021,Outdoor,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Non Residential,1
01-01-2021,Outdoor,1
01-01-2021,Dwelling,1
01-01-2021,Dwelling,1
01-01-2021,Outdoor,1
01-01-2021,Non Residential,1
01-01-2021,Dwelling,1
01-01-2021,Other Residential,1
01-01-2021,Dwelling,2
01-01-2021,Dwelling,1
01-01-2021,Dwelling,2
01-01-2021,Outdoor,1
01-01-2021,Outdoor Structure,1
01-01-2021,Dwelling,5
