boroughs,pumppercent
WESTMINSTER,7.424526603682649
TOWER HAMLETS,4.6581849221603475
CAMDEN,4.5844390377033095
SOUTHWARK,4.5554052249249475
CROYDON,4.265647773396898
LAMBETH,4.144867112238914
HACKNEY,4.044410120025782
LEWISHAM,3.787751215065065
BARNET,3.646646884962227
NEWHAM,3.6152903671615966
KENSINGTON AND CHELSEA,3.569416942971785
WANDSWORTH,3.313338714266635
ISLINGTON,3.2378508010428946
HAMMERSMITH AND FULHAM,3.219269160864743
EALING,3.131587046274091
BRENT,3.0862942983398467
HARINGEY,2.973062428504236
ENFIELD,2.9318344143589625
GREENWICH,2.9173175079697815
HILLINGDON,2.707112703454443
WALTHAM FOREST,2.5938808336188326
BROMLEY,2.5665890496071726
HOUNSLOW,2.5201349491617937
REDBRIDGE,2.20192436111095
HAVERING,2.040496362063259
BEXLEY,1.993461585362313
BARKING AND DAGENHAM,1.9493301899392033
HARROW,1.7292538890792217
SUTTON,1.6688635585002294
RICHMOND UPON THAMES,1.5132423220082107
MERTON,1.4679495740739665
KINGSTON UPON THAMES,1.1392868134229124
CITY OF LONDON,0.8013332326827823
